Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
82000000;-73.01599884033203125;-95.4852294921875
84000000;-73.03997039794921875;-106.2147674560546875
86000000;-74.63780975341796875;-93.3985137939453125
88000000;-72.7582550048828125;-93.33038330078125
90000000;-73.41266632080078125;-104.22308349609375
92000000;-71.99664306640625;-105.66585540771484375
94000000;-71.40826416015625;-93.7890472412109375
96000000;-72.19078826904296875;-110.43470001220703125
98000000;-77.2563934326171875;-103.99207305908203125
100000000;-77.9939727783203125;-97.7373504638671875
102000000;-75.8012542724609375;-91.60073089599609375
104000000;-75.5763702392578125;-84.15053558349609375
106000000;-72.890411376953125;-105.4840087890625
108000000;-77.53354644775390625;-102.62503814697265625
110000000;-77.39801788330078125;-91.11992645263671875
112000000;-73.20943450927734375;-88.20296478271484375
114000000;-78.56453704833984375;-95.35237884521484375
116000000;-74.382293701171875;-109.05255889892578125
118000000;-75.02712249755859375;-87.4726409912109375
120000000;-75.28449249267578125;-94.1907958984375
122000000;-75.11536407470703125;-101.903594970703125
124000000;-73.8737030029296875;-90.758209228515625
126000000;-75.6144256591796875;-89.75728607177734375
128000000;-74.60102081298828125;-88.64070892333984375
130000000;-73.728485107421875;-96.59775543212890625
132000000;-75.335235595703125;-92.2121429443359375
134000000;-73.2499847412109375;-92.71733856201171875
136000000;-72.4178466796875;-103.27350616455078125
138000000;-74.22975921630859375;-101.3042449951171875
140000000;-75.54561614990234375;-105.52303314208984375
142000000;-76.62801361083984375;-89.110260009765625
144000000;-75.41480255126953125;-109.36115264892578125
146000000;-76.329925537109375;-99.26474761962890625
148000000;-73.66992950439453125;-94.67491912841796875
150000000;-74.3597869873046875;-98.5416717529296875
152000000;-71.6803436279296875;-96.72409820556640625
154000000;-75.509185791015625;-94.56273651123046875
156000000;-75.20272064208984375;-103.9882965087890625
158000000;-73.1715240478515625;-91.106597900390625
160000000;-72.063385009765625;-97.609832763671875
162000000;-75.38700103759765625;-113.02764129638671875
164000000;-75.68978118896484375;-104.7832489013671875
166000000;-74.23119354248046875;-101.43383026123046875
168000000;-72.42928314208984375;-97.897796630859375
170000000;-73.047119140625;-107.87218475341796875
172000000;-72.51935577392578125;-95.98787689208984375
174000000;-78.45319366455078125;-103.143218994140625
176000000;-73.5484619140625;-95.84174346923828125
178000000;-75.420013427734375;-90.71880340576171875
180000000;-74.5099945068359375;-101.3745880126953125
182000000;-73.27495574951171875;-93.54430389404296875
184000000;-69.61336517333984375;-86.6258392333984375
186000000;-70.2664947509765625;-92.738616943359375
188000000;-73.6398468017578125;-96.05718231201171875
190000000;-73.42983245849609375;-96.63887786865234375
192000000;-74.610321044921875;-90.637847900390625
194000000;-75.5374908447265625;-98.87401580810546875
196000000;-73.25560760498046875;-98.522491455078125
198000000;-72.74149322509765625;-95.20468902587890625
200000000;-75.23233795166015625;-105.75316619873046875
202000000;-73.13219451904296875;-92.606231689453125
204000000;-70.221649169921875;-105.4078521728515625
206000000;-71.8363037109375;-89.00171661376953125
208000000;-74.14919281005859375;-103.4148101806640625
210000000;-73.991302490234375;-99.37481689453125
212000000;-70.45961761474609375;-90.85324859619140625
214000000;-68.59172821044921875;-94.06005859375
216000000;-68.30181121826171875;-86.25128936767578125
218000000;-75.5040435791015625;-99.86756134033203125
220000000;-73.24663543701171875;-86.97870635986328125
222000000;-74.323638916015625;-94.49262237548828125
224000000;-73.53188323974609375;-90.9793853759765625
226000000;-76.007080078125;-91.7309722900390625
228000000;-73.15595245361328125;-87.6609344482421875
230000000;-74.23583221435546875;-99.83599090576171875
232000000;-76.39427947998046875;-92.27146148681640625
234000000;-73.83159637451171875;-100.25016021728515625
236000000;-70.77614593505859375;-110.36508941650390625
238000000;-71.57993316650390625;-89.44689178466796875
240000000;-72.45012664794921875;-90.12477874755859375
242000000;-71.75335693359375;-87.70035552978515625
244000000;-75.4122772216796875;-99.20275115966796875
246000000;-69.96785736083984375;-88.32756805419921875
248000000;-72.5796661376953125;-100.1688690185546875
250000000;-74.8672943115234375;-96.0595245361328125
252000000;-76.3923492431640625;-89.76165771484375
254000000;-72.24784088134765625;-102.2427215576171875
256000000;-73.8660430908203125;-95.2517547607421875
